"product-block__title","product-price__item"
"Pantalón orgánico Slim Hombre","€70.00"
"Pantalón vaquero Slim Hombre","€70.00"
"Pantalón Relaxed Jogger Orgánico - 
                  Negro","€55.00"
"Pantalón Relaxed Jogger Orgánico - 
                  Lava Grey","€55.00"
"Pantalón Relaxed Jogger Orgánico - 
                  Navy Blue","€55.00"
"Pantalón Jogger Largo Orgánico · Chándal unisex - 
                  Negro","€55.00"
"Pantalón Jogger Largo Orgánico · Chándal unisex - 
                  Gris","€55.00"
"Pantalón Jogger Corto Orgánico · Chándal unisex - 
                  Negro","€40.00"
"Pantalón Jogger Corto Orgánico · Chándal unisex - 
                  Gris","€40.00"
