,nombre,precio,descripción,Fabricación (materia prima + confección + mano de obra),Operaciones (logística + transporte),Sueldos equipo + marketing + comunicación,Margen antes de impuestos
0,Sudadera algodón orgánico,€55.00,"Sudadera de algodón orgánico fabricada de forma consciente y sostenible en Portugal. Minimalista, sin logos.",44%,13%,38%,5%
1,Sudadera algodón orgánico con capucha,€65.00,"Sudadera con capucha de algodón orgánico fabricada de forma consciente y sostenible en Portugal. Minimalista, sin logos.",44%,13%,38%,5%
2,Jersey de punto de lana merino reciclado con cremallera,€80.00,"Jerséis de punto fino confeccionados con 30% lana reciclada, 50% lana merino y 20% de poliamida reciclada. Al emplear lana reciclada reducimos la producción de lana virgen, con el consiguiente ahorro en consumo de agua, energía, recursos naturales y residuos para el planeta.",44%,13%,38%,5%
3,Jersey de punto fino de lana merino reciclado,€75.00,"Jerséis de punto fino confeccionados con 30% lana reciclada, 50% lana merino y 20% de poliamida reciclada. Al emplear lana reciclada reducimos la producción de lana virgen, con el consiguiente ahorro en consumo de agua, energía, recursos naturales y residuos para el planeta.",44%,13%,38%,5%
4,Jersey lana merino reciclada,€55.00,"Jerséis de punto confeccionados con 55% lana reciclada y 45% lana merino. Al emplear lana reciclada reducimos la producción de lana virgen, con el consiguiente ahorro en consumo de agua, energía, recursos naturales y residuos para el planeta.",44%,13%,38%,5%
