,producto,precio (€),material,envio,tallas
0,Chaqueta navy Jackson,159.9,Exterior: 100% Poliéster Reciclado Forro: 100% Poliéster Reciclado,Entrega en 1-2 días hábiles. Envío gratuito a partir de 100€.,"['S', 'M', 'L', 'XL', 'XXL']"
1,Sobrecamisa gris pana Theo,119.9,100% Algodón Orgánico,Entrega en 1-2 días hábiles. Envío gratuito a partir de 100€.,"['S', 'M', 'L', 'XL', 'XXL']"
2,Sobrecamisa beige pana Theo,119.9,100% Algodón Orgánico,Entrega en 1-2 días hábiles. Envío gratuito a partir de 100€.,"['S', 'M', 'L', 'XL', 'XXL']"
3,Chaqueta azul Carmy,149.9,55% Cáñamo + 45% Algodón Orgánico,Entrega en 1-2 días hábiles. Envío gratuito a partir de 100€.,"['S', 'M', 'L', 'XL', 'XXL']"
4,Chaqueta marrón Carmy,149.9,55% Cáñamo + 45% Algodón Orgánico,Entrega en 1-2 días hábiles. Envío gratuito a partir de 100€.,"['S', 'M', 'L', 'XL', 'XXL']"
5,Chaqueta dark clean denim Odonata,129.9,99% Algodón Orgánico + 1% Elastano,Entrega en 1-2 días hábiles. Envío gratuito a partir de 100€.,"['S', 'M', 'L', 'XL', 'XXL']"
